@@,itemlabel,item,startdate,enddate
+++,Yuri Petrov,,1991-08-05,1993-01-19
+++,Sergey Filatov,Q4483784,1993-01-19,1996-01-15
+++,Nikolai Yegorov,Q4173771,1996-01-15,1996-07-15
+++,Anatoly Chubais,Q201005,1996-07-15,1997-03-07
+++,Valentin Yumashev,Q1975794,1997-03-11,1998-12-07
+++,Nikolay Bordyuzha,Q328343,1998-12-07,1999-03-19
+++,Alexander Voloshin,Q4124082,1999-03-19,2003-10-30
+++,Dmitry Medvedev,Q23530,2003-10-30,2005-11-14
->,Sergey Naryshkin,Q983654,2008-05-12,2011-12-20->2011-12-15
+++,Vladislav Surkov,Q548164,2011-12-20,2011-12-22
