item,itemLabel,startDate,endDate,psid
Q1426030,Sergei Frank,1998-02-28,2004-03-09,Q1426030-D2558B0F-AC17-49F0-9FAD-41DED8A2EE03
Q19844165,Vitaly Yefimov,1990-09-08,1996-01-10,Q19844165-871F7D2E-ADFF-4149-83D0-D5F7390E90D8
Q21140616,Q21140616,1996-01-12,1998-02-28,Q21140616-3249F7EC-2381-47C0-90ED-71DEF3484517
Q4403799,Vitaly Savelyev,2020-11-10,,Q4403799-7149A68C-432B-406A-AE44-C0EBB2BDEDBD
Q4427199,Maksim Sokolov,2012-05-21,2018-05-18,Q4427199-5E246FA7-9A57-4930-B513-B373A3EDB312
Q53803011,Yevgeny Dietrich,2018-05-18,2020-11-09,Q53803011-5B1C721A-BA53-40C7-B25D-A0A4AFC7AD02
Q982464,Igor Levitin,2004-03-09,2012-05-21,Q982464-842EDEFF-64BF-4662-A375-6B088D0F5043
