position,title
Q218295,President
Q842386,Prime Minister
Q1965788,First Deputy Prime Minister
Q14805701,Deputy Prime Minister
Q107724535,Minister of Agriculture
Q107688680,"Minister of Construction, Housing and Utilities"
Q107710300,Minister of Culture
Q17287317,Minister of Defence
Q107688664,Minister for the Development of the Russian Far East and Arctic
Q107883554,"Minister of Digital Development, Communications and Mass Media"
Q107688593,Minister of Economic Development
Q107724580,Minister of Education
Q17287321,Minister of Emergency Situations
Q107724562,Minister of Energy
Q107724511,Minister of Finance
Q1418873,Minister of Foreign Affairs
Q19399764,Minister of Fuel and Energy
Q20978296,Minister of Health
Q107710318,Minister of Industry and Trade
Q4399968,Minister of Internal Affairs
Q107688672,Minister of Justice
Q107710314,Minister of Labour and Social Protection
Q107710311,Minister of Natural Resources
Q111995957,Minister of Regional Development
Q107688573,Minister of Science and Higher Education
Q107710306,Minister of Sport
Q107710272,Minister of Transport
Q107883733,Presidential Plenipotentiary Envoy to the Far Eastern Federal District
Q107883642,Chief of the Government Staff
Q19891837,Director of the Foreign Intelligence Service
Q4399975,Director of the Federal Security Service
Q109551787,Secretary of the Security Council
Q1970542,Prosecutor-General
Q109551858,Governor of the Central Bank
Q4109060,Supreme Commander-in-Chief of the Armed Forces
Q4376672,Chairman of the Federation Council
Q4376663,Chairman of the State Duma
