@@,item,itemlabel,startdate,enddate
->,Q1062335,Leonid Potapov,1994-07-01->2002-06-23,2007-07-10
+++,Q1062335,Leonid Potapov,1998-06-21,2002-06-23
->,Q744157,Vyacheslav Nagovitsyn,2007-07-10,2017-02-07->2012-05-12
+++,Q744157,Vyacheslav Nagovitsyn,2012-05-12,2017-02-07
->,Q28729008,Aleksey Tsydenov->Alexey Tsydenov,2017-02-07,NULL->2017-09-10
+++,Q28729008,Alexey Tsydenov,2017-09-10,
