@@,itemlabel,item,startdate,enddate
+++,Виктор Георгиевич Комплектов,Q4230063,1991-01-15,1991-12-25
->,"Комплектов, Виктор Георгиевич->Виктор Георгиевич Комплектов",Q4230063,1991->1991-12-25,1992-03-02
->,"Лукин, Владимир Петрович->Владимир Петрович Лукин",Q2003890,1992-01-24,1994-02-08
->,"Кисляк, Сергей Иванович->Сергей Иванович Кисляк",Q460281,2008-07-26,2017-07->2017-08-21
->,Анатолий Иванович Антонов,Q4067324,2017-09-01->2017-08-21,
