@@,itemlabel,item,startdate,enddate
->,"Абдул-Вахед Валидович Ниязов->Ниязов, Абдул-Вахед Валидович",Q308515,2000-01-18,2003-12-07
->,"Азарова, Надежда Борисовна",Q4058155,1999->2000-01-18,2007->2003-12-07
->,"Александр Александрович Карелин->Карелин, Александр Александрович",Q187247,1999->2000-01-18,2007->2003-12-07
->,"Александр Александрович Сизов->Сизов, Александр Александрович",Q102270978,2000-01-18,2003-12-07
->,"Александр Васильевич Шульга->Шульга, Александр Васильевич",Q4527525,2000-01-18,2003-12-07
->,"Александр Владимирович Шишлов->Шишлов, Александр Владимирович",Q4524827,2000-01-18,2003-12-07
->,"Александр Глебович Невзоров->Невзоров, Александр Глебович",Q1978790,2000-04-07,2003-12-07
->,"Александр Дмитриевич Жуков->Жуков, Александр Дмитриевич",Q57735,2000-01-18,2003-12-07
->,"Александр Дмитриевич Куликов->Куликов, Александр Дмитриевич",Q4246187,2000-01-18,2003-12-07
->,"Александр Михайлович Федулов->Федулов, Александр Михайлович",Q97286527,2000-01-18,2003-12-07
->,"Александр Николаевич Ткачёв->Ткачёв, Александр Николаевич",Q1979193,2000-01-18,2003-12-07
->,"Александр Николаевич Шохин->Шохин, Александр Николаевич",Q4526318,2000-01-18,2003-12-07
---,Александр Яковлевич Розенбаум,Q663116,2003,2005
->,"Александра Манджиевна Буратаева->Буратаева, Александра Манджиевна",Q4099366,1999-12-19->2000-02-04,2007-12-24->2003-12-07
->,"Алексеев, Алексей Алексеевич (депутат)->Алексеев, Алексей Алексеевич",Q102427736,2000-01-18,2003-12-07
->,"Алексей Валентинович  Огоньков->Огоньков, Алексей Валентинович",Q65153172,2000-01-18,2003-12-07
->,"Алексей Георгиевич Арбатов->Арбатов, Алексей Георгиевич",Q4068640,2000-01-18,2003-12-07
->,"Алексей Евгеньевич Лихачёв->Лихачев, Алексей Евгеньевич",Q9956195,2000-06-23,2003-12-07
->,"Алексей Иванович Александров->Александров, Алексей Иванович",Q4061077,2000-01-18,2003-12-07
->,"Алексей Митрофанов->Митрофанов, Алексей Валентинович",Q4296811,2000-01-18,2003-12-07
->,"Анатолий Иванович Лукьянов->Лукьянов, Анатолий Иванович",Q487779,2000-01-18,2003-12-07
->,"Анатолий Николаевич Грешневиков->Грешневиков, Анатолий Николаевич",Q4148825,2000-01-18,2003-12-07
->,"Анатолий Сергеевич Куликов->Куликов, Анатолий Сергеевич",Q4246195,2000-01-18,2003-12-07
->,"Анатолий Степанович Тяжлов->Тяжлов, Анатолий Степанович",Q4467894,2000-01-18,2003-12-07
---,Андрей Владимирович Козырев,Q502746,1993-12-12,2000-01-18
->,"Андрей Владимирович Скоч->Скоч, Андрей Владимирович",Q4422468,2000-01-18,2003-12-07
->,"Андрей Юрьевич Вульф->Вульф, Андрей Юрьевич",Q4128393,2001-04-12,2003-12-07
---,Арсен Сулейманович Фадзаев,Q704427,2003,2011
->,"Асламбек Ахмедович Аслаханов->Аслаханов, Асланбек Ахмедович",Q2362198,2000-08-25,2003-12-07
->,"Борис Абрамович Березовский->Березовский, Борис Абрамович",Q311019,2000-01-18,2003-12-07
->,"Борис Борисович Надеждин->Надеждин, Борис Борисович",Q4311880,2000-01-18,2003-12-07
->,"Борис Всеволодович Громов->Громов, Борис Всеволодович",Q504137,2000-01-18,2003-12-07
->,"Борис Вячеславович Грызлов->Грызлов, Борис Вячеславович",Q188296,2000-01-18,2003-12-07
->,"Борис Давыдович Зубицкий->Зубицкий, Борис Давыдович",Q4194287,2000-01-18,2003-12-07
->,"Борис Ефимович Немцов->Немцов, Борис Ефимович",Q363846,2000-01-18,2003-12-07
->,"Борис Иванович Данченко->Данченко, Борис Иванович",Q18923804,2000-01-18,2003-12-07
->,"Быков, Владимир Иванович (депутат)->Быков, Владимир Иванович",Q99670836,2000-01-18,2003-12-07
->,"Валентин Александрович Купцов->Купцов, Валентин Александрович",Q4247629,2000-01-18,2003-12-07
->,"Валентина Николаевна Иванова->Иванова, Валентина Николаевна",Q4196397,2000-01-18,2003-12-07
->,"Валерий Васильевич Гребенников->Гребенников, Валерий Васильевич",Q4148251,2000-01-18,2003-12-07
->,"Валерий Владимирович Рязанский->Рязанский, Валерий Владимирович",Q4402637,2000-01-18,2003-12-07
->,"Валерий Карлович Гартунг->Гартунг, Валерий Карлович",Q4133962,2000-01-18,2003-12-07
->,"Валерий Михайлович Зубов->Зубов, Валерий Михайлович",Q4194353,2000-01-18,2003-12-07
->,"Валерий Тимофеевич Сайкин->Сайкин, Валерий Тимофеевич",Q4405204,2000-01-18,2003-12-07
->,"Валерий Фёдорович Рашкин->Рашкин, Валерий Фёдорович",Q4391353,2000-01-18,2003-12-07
->,"Валерий Яковлевич Комиссаров->Комиссаров, Валерий Яковлевич",Q4229615,2000-01-18,2003-12-07
->,"Василий Иванович Шандыбин->Шандыбин, Василий Иванович",Q2134515,2000-01-18,2003-12-07
->,"Василий Михайлович Ивер->Ивер, Василий Михайлович",Q101116109,2000-01-18,2003-12-07
->,"Вера Александровна Лекарева->Лекарева, Вера Александровна",Q51669089,2000-01-18,2003-12-07
->,"Виктор Георгиевич Куликов->Куликов, Виктор Георгиевич",Q48051,1999->2000-01-18,2003->2003-12-07
->,"Виктор Иванович Илюхин->Илюхин, Виктор Иванович",Q1971710,2000-01-18,2003-12-07
->,"Виктор Иванович Черепков->Черепков, Виктор Иванович",Q4512910,2000-04-07,2003-12-07
->,"Виктор Степанович Черномырдин->Черномырдин, Виктор Степанович",Q190884,2000-01-18,2003-12-07
->,"Виталий Владимирович Ледник->Ледник, Виталий Владимирович",Q4257119,2000-01-18,2003-12-07
->,"Виталий Иванович Севастьянов->Севастьянов, Виталий Иванович",Q252726,2000-01-18,2003-12-07
->,"Владимир Александрович Рыжков->Рыжков, Владимир Александрович",Q1049488,2000-01-18,2003-12-07
