item,itemLabel,startDate,endDate,psid
Q15060936,"Шумский, Вячеслав Дмитриевич",2008-09-11,2013-06-03,Q15060936-2664987C-0C28-487A-A84E-C38AADB2A721
Q16335493,"Павлинов, Владимир Александрович",1999-12-31,2003-11-20,Q16335493-60CD5991-4B0B-4A74-B878-570C5F2A82F8
Q19918248,"Зенков, Борис Геннадиевич",1991-12-25,1996-11-18,Q19918248-BBBB8894-E40B-4EDE-AF7B-B5B1CB1883DF
Q4307789,"Мурадов, Георгий Львович",1996-11-18,1999-10-25,Q4307789-BF9DBC9B-899B-4C91-812C-4EEF67DC61B8
Q4317737,"Нестеренко, Андрей Алексеевич",2003-11-24,2008-09-11,Q4317737-72449134-89BE-48BC-8657-6668D7973E99
Q768958,"Осадчий, Станислав Вилиорович",2013-06-03,,Q768958-70B81946-8941-4F6E-9CF8-DA867A801E3F
