item,itemLabel,startDate,endDate,psid
Q15068349,Андрей Геннадьевич Карлов,2013-07-12,2016-12-19,Q15068349-9d9cde5b-430c-0720-4021-a7b140d48dac
Q15076154,"Стегний, Пётр Владимирович",2003-02-27,2007-01-31,Q15076154-B7507A79-864A-4ED6-A2A7-9F3C8B468CB6
Q30346041,Александр Александрович Лебедев,1998-06-30,2003-02-27,Q30346041-EE34C158-3E15-4A38-8353-B0E34864EEB2
Q30346069,Вадим Игоревич Кузнецов,1994-09-13,1998-06-30,Q30346069-891F1829-E9F5-4C17-8E7F-E1519BFB1319
Q30880268,"Ерхов, Алексей Владимирович",2017-06-19,,Q30880268-3FE155E3-12DC-4BCC-90C6-FD700EBA9074
Q4196626,"Ивановский, Владимир Евгеньевич",2007-01-31,2013-07-12,Q4196626-4075BA8B-2CEA-463D-8AA5-FFD0305E6AAB
Q4514338,"Чернышёв, Альберт Сергеевич",1991-12-25,1994-08-06,Q4514338-11990FDA-1EC5-4C5E-A97E-F17354AE12B2
