@@,itemlabel,item,startdate,enddate
+++,Александр Иванович Кузнецов,,1992-01-24,1992-09-01
->,"Трофимов, Александр Михайлович->Александр Михайлович Трофимов",Q16407357,1992-09-01,1997-07-23
->,"Глухов, Алексей Ильич->Алексей Ильич Глухов",Q12358794,1997-07-23,2000-09-15
->,"Провалов, Константин Константинович->Константин Константинович Провалов",Q12367358,2000-09-15,2006-07-25
->,"Успенский, Николай Николаевич->Николай Николаевич Успенский",Q6680777,2006-07-25,2010-07-14
->,"Петров, Александр Михайлович->Александр Михайлович Петров",Q21857151,2015-08-18,2021-12-14
->,"Липаев, Владимир Георгиевич->Владимир Георгиевич Липаев",Q111033873,2021-12-14,
