item,itemLabel,startDate,endDate,sourceDate,psid
Q4271500,Вячеслав Николаевич Любимов,1997-01-06,2004-04-12,2022-05-12,Q4271500-D082C274-A36E-4B9E-9A53-3BE0A47EB866
Q544815,Георгий Иванович Шпак,2004-04-12,2008-04-12,2022-05-12,Q544815-DBEF98FB-F8D9-4A8D-ACBD-D32171163D32
Q4225606,Олег Иванович Ковалёв,2008-04-12,2017-02-14,2022-05-12,Q4225606-9AEDB03C-06F5-4E3B-889E-1D714B31C841
Q19910548,Николай Викторович Любимов,2017-02-14,2022-05-10,,Q19910548-5f75fe84-4a82-eae7-fb97-3cab314833c4
Q111955504,Павел Викторович Малков,2022-05-10,,2022-05-12,Q111955504-F915673F-170E-4835-81F0-FF0892C9B149
