@@,itemlabel,item,startdate,enddate
->,"Долгов, Вячеслав Иванович->Вячеслав Иванович Долгов",Q7943783,1991-12-25,1993-11-11
->,"Лосюков, Александр Прохорович->Александр Прохорович Лосюков",Q4267338,1993-11-11,1997-09-06
->,"Хамидулин, Рашит Луфтулович->Рашит Луфтулович Хамидулин",Q7294962,1998-08-31,2001-07-20
->,"Моисеев, Леонид Петрович->Леонид Петрович Моисеев",Q4299726,2001-07-20,2005-11-10
->,"Блохин, Александр Викторович->Александр Викторович Блохин",Q4088328,2005-11-10,2010-06-29
->,"Морозов, Владимир Николаевич->Владимир Николаевич Морозов",Q15073619,2010-06-29,2016-07-28
->,"Логвинов, Григорий Семёнович->Григорий Семёнович Логвинов",Q39082353,2016-07-28,2019-04-03
->,"Павловский, Алексей Викторович->Алексей Викторович Павловский",Q65148465,2019-04-03,
