wanted,position,positionid,from,start,end
Q4095272,Ambassador to Serbia,Q112658949,Q3380997,2012-09-26,2019-06-10
Q2272602,Deputy Prime Minister,Q14805701,Q548164,2012-05-21,2013-05-08
Q15972050,Plenipotentiary Representative of the President in a Federal District,Q4370371,Q16941911,2012-05-12,2016-06-28
Q21106538,Ambassador to North Korea,Q28038709,Q19940364,2012-04-05,2014-12-26
Q15829163,Governor of the City of Sevastopol,Q16267964,Q4539828,2011-06-07,2014-03-07
Q1396860,Deputy Prime Minister,Q14805701,Q147425,2008-05-12,2012-05-07
Q18086766,Mayor of Cherepovets,Q18086761,Q4230285,2007-03-11,2011-12-14
Q147425,First Deputy Prime Minister,Q1965788,Q204027,2007-02-15,2008-05-07
Q28858481,Governor of Tyumen Oblast,Q4151344,Q4537299,2005-11-24,2018-05-18
Q4099503,Prime Minister of Crimea,Q2387033,Q4284677,2005-04-20,2005-09-21
Q96655793,Plenipotentiary Representative of the President in a Federal District,Q4370371,Q983514,2000-05-18,2011-08-31
Q1965600,Minister of Labour and Social Protection,Q107710314,Q4375286,2000-05,2004-03
Q23530,Supreme Commander-in-Chief of the Armed Forces,Q4109060,Q7747,1999-12-31,2008-05-07
Q1376668,Secretary of the Security Council,Q109551787,Q204027,1999-11-15,2001-03-28
Q4157965,Permanent Representative to the United Nations,Q4374313,Q58217,1994-09-22,2004-07-12
Q983851,Mayor of Moscow,Q1837906,Q156379,1992,2010
