item,itemLabel,startDate,endDate,psid
Q15088812,"Ранних, Александр Александрович",1992-03-02,1996-11-25,Q15088812-541E2827-5327-4EE0-8060-BFA6DBE95296
Q15210649,Александр Иванович Удальцов,1996-11-25,2001-02-13,Q15210649-587BD41A-3D3E-402C-8E40-E9FCB059AE9B
Q18278285,"Студенников, Игорь Иванович",2001-02-13,2004-09-01,Q18278285-A05244F3-B118-46AF-92E6-8381561834B3
Q30346012,"Лукьянов, Евгений Владимирович",2016-12-15,2021-03-25,Q30346012-e72502a9-4c67-12ff-9d28-3e039d1b68a4
Q4103372,"Ванин, Михаил Валентинович",2021-09-28,,Q4103372-C06218D6-B4EF-4330-BFC8-4DAFBFA54DA0
Q4110299,Александр Альбертович Вешняков,2008-01-11,2016-12-15,Q4110299-113179C0-E824-4E78-912B-0DA9B70D551D
Q4210631,Виктор Иванович Калюжный,2004-09-01,2008-01-11,Q4210631-A43E25F5-579F-4A6C-9913-3EFE9A7AB878
